premise	hypothesis	premise_atomic	hypothesis_atomic	label
Splošni družbeni dejavniki uspešnosti so pogojeni s splošno družbeno klimo, tradicijo športne panoge in osnovnimi pogoji, izobraževanjem in organiziranostjo trenerjev ter teoretično in znanstveno - raziskovalnim delom.	Mnogi sociologi trdijo, da je za uspešnost skupnosti potrebno skrbeti za splošno energijo družbe, športne navade ter vzgojno-izobraževalni sistem, organizacijo trenerjev ter znanstvenoraziskovalno aktivnost.	Podjetje PersonX zagotavlja uspeh podjetja PersonX zadovoljni, ponosni na doseženi uspeh, socialni vzvod in vera v lastne zmožnosti za doseganje zastavljenih ciljev.	sociologi meni, da je hoditi v šolo dovolj	neutral
“Prav ste imeli, Emily,“ je rekel Tommy.	Tommy se je z Emily strinjal.	Tommy je vedno rekla pravilno	Tommy pove Tomu se pogovarja s Tomom	neutral
2. ce je bila v letu 2005 pokojnina njihov edini dohodek, pod pogojem, da od pokojnine ni bila odtegnjena in placana akontacija dohodnine in pri akontaciji dohodnine zavezanci niso uveljavljali posebne olajšave za vzdrzevane druzinske clane.	2. Tisti upravičenci, ki so v letu 2005 poleg pokojnine prejemali še dohodek iz drugih virov, pri čemer pa iz naslova pokojnine ni izhajala akontacija dohodnine.	zavezanci vloži davke akontaciji akontaciji se izogne kazni, ker ni plačala svojih davkov.	akontacija vrne denar naslova oseba pridobi več denarja kot prej.	contradiction
Grozdje je bilo zdravo, sladko, vreme pa zelo lepo.	Grozdje se je na trti ohranilo, vreme pa se ni spreminjalo.	vreme pozna mesto predmet kraj je bil tako dober in zelen.	PersonX spremembe brez predhodnega obvestila da ga ohranite.	neutral
Rastline, ki cvetijo tudi pozimi (božični kaktus, ciklama, vijolica, flamingovec), prestavimo na svetel prostor ob okno.	Trajnice, med katere uvrščamo Schlumbergero, kokorik, violo in Anthurium, naj bodo premaknjene na s soncem obsijano okensko polico.	Rastline prižge lučke na božičnem drevesu	Trajnice izbere cvetje postaviti vazo na mizo	entailment
(1) Vsakdo, ki ima pravni interes v zvezi z odločbo carinskega organa, ima pravico do pritožbe.	(1) Vsakdo lahko da pisno pobudo za začetek pritožbenega postopka, če izkaže svoj pravni interes.	Vsakdo upraviči vsak zagovarjati svoje stališče.	Vsakdo upraviči vsak zagovarjati svoje stališče.	entailment
(1) Pravna oseba oziroma organ, pri katerem se opravlja nadzor (v nadaljnjem besedilu: pravna oseba) mora zagotoviti pooblaščenemu delavcu pogoje, ki mu omogočajo nemoteno delo.	Če pravna oseba oziroma delodajalec odgovorni osebi za inšpektorski pregled ne omogoči ustreznih pogojev, mu bo le-ta napisal kazen.	oseba povzroči drugo delodajalec lahko izgubi delavca, ki je aretiran zaradi storitve kaznivega dejanja.	PersonX pusti slab pregled škoduje podjetju ali izdelku, o katerem je napisal slabo mnenje.	neutral
»Ali veste, kdo je bil njegov bivši?«	Gotovo vam ga nikoli ni predstavil.	kdo vedeti, kdo je njihov oče.	osebek ni nikoli pokazala da ne bi bilo tam.	contradiction
Tudi suhe trave, posušena cvetna stebla sibirskih perunik, kresnic, rudbekij, možine in homulic so v zimah brez snega odličen nadomestek zelenih rastlin.	Pozimi, kadar ni prehud mraz, lahko še vedno nabiramo in sušimo travniške rastline, nato pa jih v šopku nekomu podarimo.	trave kupi nekaj lesa pozimi ostane toplo	osebek kupi nekaj lesa pozimi ostane toplo	neutral
Odcedimo jih, narežemo na koščke in postavimo na toplo.	Znebimo se odvečne vode s pomočjo cedila, narežemo na kolobarčke, damo na vroče olje in popečemo.	osebek poje pito ga razrežite in položite na krožnik.	osebek izlijemo staro olje.	neutral
Arheologi so izkopali temelje stolpa in obzidja, pomožnih stavb, cisterne in ognjišča.	Strokovnjaki za arheologijo so odkrili osnove templja, obzidja ter ostalih stvab, našli so celo ostanke cisterne ter ognjišča.	Arheologi ni nikoli našla nič	Strokovnjaki še ni našla nič	entailment
Davcni zavezanec mora napoved za odmero akontacije dohodnine od drugih dohodkov (105. clen ZDoh-2) vloziti na obrazcu pri pristojnem davcnem organu (osebno ali po pošti).	Napoved, ki jo mora davčni zavezanec vložiti, se lahko vloži tudi preko portala eDavki, če ima davčni zavezanec digitalno potrdilo (SIGEN-CA, POŠTA®CA, HALCOM CA, AC NLB).	zavezanec mora plačati drugi osebi.	zavezanec plača račune za zdravljenje portala poslati ček ali digitalno spletno poslati denar za kritje računov.	neutral
Zakon o visokem šolstvu je v 38. členu določil, da je uspešno opravljena splošna matura splošni pogoj za vpis na univerzo in zadostni pogoj za vpis v študij, ki po obsegu vpisa ni omejen.	Uspešno opravljena splošna matura je z zakonom določena kot splošni pogoj, da se dijak lahko vpiše na univerzo, poleg tega pa je tudi zadosten pogoj, da se dijak lahko vpiše na študijsko smer, kjer ni omejitev.	pogoj je dijak srednje šole končati 8. razred	omejitev uspešno opravi test ima večjo verjetnost, da bo končal šolo	neutral
Zagorelec lahko tudi prečimo, orientacija ni posebno zahtevna, severni del gore pa je tehnično zahtevnejši in bolj izpostavljen kot južni.	Vse poti na goro Zagorelec so zahevne predvsem z orientacijskega vidika.	del je boljša od južni taktičen	poti se počuti pustolovsko za načrtovanje pohoda v gore	contradiction
“Le to, da sta se srečala v Parizu.“	“Očitno je, da se še nikoli nista srečala.“	osebek nikoli ni videla oditi v Pariz	osebek še nikoli ni srečala se srečati	contradiction
»To je pa dolga pot,« je rekel.	Povedal mi je, da je pot dolga in dolgočasna, gre povsem po ravnem.	To prevozi dolgo pot	pot hodi po cesti utrujeni in izčrpani	neutral
Po ZDIJZ je torej informacija, ki izvira iz delovnega področja organa, tista informacija, ki je nastala v zvezi z izvajanjem javnopravnih nalog oziroma v zvezi z javnopravno dejavnostjo organa.	Ko nekdo iz javne uprave izvaja svoje naloge v okviru svojega področja v javni upravi, so rezultati teh nalog informacije javnega značaja.	informacija vidi delo zvezi informacija pridobi znanje ali informacije o tem, kaj je počel človek y.	Podjetje PersonX opravlja dejavnost podjetja PersonX zbiranje podatkov o tem, na katerem področju mora delati.	neutral
Opore za paradižnike postavimo, preden posadimo rastline, da ne bi ponesreči poškodovali koreninske grude.	Še preden se lotimo sajenja paradižnikov, postavimo v zemljo polmetrske oporne palice; ob kasnejšem postavljanju opor bi lahko poškodovali zemljo ob koreninah.	osebek seseklja zelenjavo da zelenjavo pred rezanjem operete.	osebek vrže za zbiranje semen. na zemljo	neutral
»Hvala bogu!« je vzkliknil Majk in globoko vzdihnil.	“Hvala bogu!“ je vzkliknil, ko je izvedel, da je izven življenjske nevarnosti.	"Majk poviša plačo reče ""hvala"""	osebek je skoraj izgubila se zahvalil Bogu, da je preživel nesrečo.	neutral
Športnorekreativno udejstvovanje je lahko tudi pomemben dejavnik pri ohranjanju in vzpostavljanju duševnega ravnovesja.	Dolgotrajna športna aktivnost, tudi na ljubiteljski ravni, ima čez čas pozitivne posledice ne le na fizičnem, pač pa tudi na duševnem zdravju.	udejstvovanje igra vlogo šport v življenju	aktivnost izpolnjuje cilje čas je fizično utrujen, če je izpolnjevanje ciljev PersonY vključevalo kakršno koli fizično aktivnost.	neutral
»Kar pa nikakor ne pomeni, da si ti lahko zdaj oddahneš!	“Zadihaj, mimo je, ni ti treba več skrbeti, kar bo pač bo.“	Kar se ne počuti dobro počivati	kar se znebi ne potrebuješ več nekega predmeta.	contradiction
Mogoče bi bilo vse drugače, če bi drugače začela.	Morda bi bila v primeru drugačnega začetka celotna situacija drugačna.	vse da bi bilo bolje, če bi to naredili drugače.	situacija izgleda druga pridobi drugačno perspektivo.	entailment
Ustavil se je in se, s še vedno dvignjenimi rokami, obrnil.	Preden se je obrnil in dvignil roke nad glavo, je obstal.	osebek potisne nazaj dvignite roke in položite dlani.	osebek potisne nazaj dvignite roke in položite dlani.	entailment
(2) V primerih iz 1. in 2. točke prejšnjega odstavka pooblaščena uradna oseba ne sme opravljati v prejšnjem odstavku navedenih ukrepov tudi pri fizični osebi.	Iz prejšnjega odstavka lahko razberemo, da v navedenih primerih uradna oseba, ki ima pooblastilo, ukrepov ne sme izvajati pri fizični osebi.	oseba naredi osebi vnaprej nič	oseba vzame osebi povedati, da se ne sme tako obnašati. na stran	entailment
Na eni zmed poslovalnic pošte v Mariboru je nekdo unovčil ponarejen bankovec za 100 evrov.	Neznanec je bankovec dvignil na lokalnem bankomatu.	nekdo najde bankovec za dvajset dolarjev zapravlja denar.	PersonX zasluži denar na spletu za prenos denarja na njegovo banko.	neutral
Nad pričakovanji je bila rast zalog, kar je po visokih vrednostih v letih 2002 in 2003 lani k celoletni gospodarski rasti prispevalo kar 0.8 odstotne točke.	V lanskem letu se je gospodarska rast dvignila za kar osem desetin odstotka zlasti na podlagi rasti zalog, ki je bila tokrat nad pričakovanji.	kar poveča cenjeno za odstotek	PersonX raste za pretekla leta po letih	entailment
V drugem odstavku 1. člena pa je splošna prepoved diskriminacije dopolnjena z določbo, da nobena javna oblast ne bo proti nikomur izvajal diskriminacije iz katerega koli razloga iz prvega odstavka.	Splošna diskriminacija je prepovedana v drugem odstavku 1. člena zakonika, kjer piše, da javna oblast ne sme izvajati diskriminacije iz kateregakoli razloga, navedenega v prvem odstavku.	oblast poškoduje drugo osebo nič	oblast krši zakon nič	entailment
Če uveljavlja tožeča stranka v tožbi zoper isto toženo stranko več zahtevkov, ki se opirajo na isto dejansko in pravno podlago, se določi pristojnost po seštevku vrednosti vseh zahtevkov.	Da ne prihaja do prevelikih zamud, so sodišča odločila, da pristojnost vseh zahtevkov tožeče stranke proti isti osebi določajo s seštevkom vrednosti vseh zahtevkov.	pristojnost zahteva znesek podlago enako	pristojnost sporazumno reši spor da so vse stranke enako zadovoljne.	neutral
Republika Hrvaška je evropska parlamentarna država in je del evropske politične in kulturne zgodovine.	Monarhija Hrvaška je pomemben del srednjeevropske zgodovine.	PersonX je vedno tako srečen je prijazen	Monarhija igra vlogo pomembno v zgodovini	contradiction
Vztrajali boste pri pogovoru s partnerjem, ki naj bi razjasnil nekatere zadeve.	S partnerico se vam obeta resen pogovor, ki bo razjasnil marsikateri dvom.	osebek postane zaskrbljena pogovor z osebo, ki jo zadeva, da bi rešili težave.	pogovor se pogovarja z možem partnerico jim postaviti vprašanje.	neutral
Zaradi prenehanja pravdne stranke brez pravnega nasledstva procesna predpostavka sposobnost biti stranka ni več podana in ker se te pomanjkljivosti ne da odpraviti, pomeni, da je revizija postala nedovoljena.	Pravdna stranka je resda prenehala z delovanjem in ne spada več v kategorijo stranke, saj nima nasledstvene kandidatke, a je ta podatek v sklopu revizije moč zavreči in ustrezno izvesti revizijo.	revizija obstaja brez prenehanja pogreša y	stranka je zapustila stranka in odšla	contradiction
O tem bom še premislil,« mu je odvrnil.	“O tem ne želim več razmišljati,“ mu je odgovoril.	osebek se odloči poskusiti ponovno razmišlja o tem.	osebek o tem ne razmišlja spraševati se, kaj misli osebek.	contradiction
Grozdje je bilo zdravo, sladko, vreme pa zelo lepo.	Trta je obilno obrodila, vreme pa se je tudi držalo.	vreme pozna mesto predmet kraj je bil tako dober in zelen.	vreme je porabila tudi učinkovito upravljati s časom.	entailment
Tudi potniki na zadnjih sedežih so presenetljivo imeli dovolj prostora.	Čeprav je avtobus sprejel več potnikov, kot bi jih smel, so vsi sedeli za silo udobno.	PersonX je končno sedel vprašajte ljudi v bližini, ali je sedež prost.	vsi se pelje z avtobusom sedi med drugimi potniki.	neutral
Iz Elektro Ljubljana so sporočili, da nadaljujejo sanacijo transformatorskih postaj in nizkonapetostnega omrežja.	V Ljubljani se ne želijo več ukvarjati z elektriko, saj želijo ubrati poti, ki so bile včasih običajne za ljudi brez elektrike.	osebek pokliče električno podjetje za ponovno vklop električne energije	osebek jim ni treba več voziti z vlakom.	contradiction
»Oči, kaj počneš doma?« ga je presenečeno vprašala Ali.	Ali je bila presenečena, ker ni pričakovala, da bo njen oče doma.	Ali si ogleda hišo predmet Vprašajte Ali, kaj počne.	oče razburjen, ker njegovim staršem ni bilo všeč.	entailment
Če pri tem pride do povečanja drobnoprodajnih cen, morajo zavezanci popisne liste zalog in drobnoprodajnih cen, predložiti pristojnemu davčnemu organu do 10. julija 1999.	V primeru, da se maloprodajne cene zvišajo, so zavezanci dolžni liste s popisom zalog in maloprodajnih cen oddati davčnemu organu pred desetim dnem sedmega meseca v letu 1999.	zavezanci stopi v stik s prodajalcem dodatne informacije o predmetu.	Datoteke PersonX z davki pošljite ga računovodji.	entailment
Posebej primeren je za pripravo sredozemskih jedi, solat z olivami in sirom ter jajci, pa tudi za mariniranje perutnine ali rib.	Njegova uporaba ni omejena le na prelive za solato, ampak se zaradi njegovega blagega okusa poda praktično k vsemu.	osebek pripravlja večerjo za sekljanje zelenjave in mariniranje mesa	uporaba poskusi omako dobro jo je okusiti	neutral
Predstavniki pogodbenic se bodo, kadar koli bo potrebno, posvetovali o kakršni koli zadevi v zvezi z uresničevanjem tega sporazuma.	Ker gre za izjemno pomemben sporazum, se bodo predstavniki pogodbenic trudili, da pride do njegove čim hitrejše uresničitve.	PersonX članom zagotavlja razpravljali o tem, kako izboljšati storitev.	predstavniki deluje kot posrednik uresničitve sklenitev sporazuma med njima. sklenitev sporazuma med njima.	neutral
Če pa začnemo pri virih podatkov in iz tega, kar imamo na voljo, zgradimo podatkovni model skladišča, je to pristop od spodaj navzgor.	Niti pristop od dna do neba niti od zgoraj navzdol ni zadosten način, kajti stvari še niso dodobra raziskane.	pristop črpa pristop na podlagi podatkov razmisli, kaj naj stori. iz podatkov	stvari se spusti po poti predmet navzdol nič	neutral
Edison je razgrnil kritiko, zvil roke in se naslonil na rob mize.	Svoje kritike ni nikomur pokazal, negibno je obsedel na stolu.	Edison potisne stol rob je položil roke na stol.	osebek položi nič stolu na mizo	contradiction
»Eee, gospod ...« se je zaslišalo od zadaj.	Kadar koga izza hrbta nagovorimo, moramo biti vljudni.	osebek se vrne prestrašen kasneje	osebek sodi vsakega biti pošten glede na	neutral
»K tvojim starim staršem, babici in dedku?« je zanimalo Maka.	Maka ni prav nič zanimalo, kam grem ta vikend.	osebek vpraša očeta staršem da gre na njegov dom	nič ta teden kupi nič	contradiction
Morse si je snel šal in videti je bil nekoliko izgubljen.	Morse si je odvil šal z vratu in izgledal povsem izgubljeno.	PersonX gleda visoko in nizko nekaj izgubiti	PersonX je popolnoma pozabil se ozira naokoli in išče namige.	entailment
opis: Dva “kazuca“ (kozolca); na njih je obešena pšenica, na vrhu pritrjena z latami.	opis: Na dveh kozolcih (narečno “kazucih“) visi pšenica, zgoraj jo nase vežejo late.	pšenica ima dve mački da bi nahranil svoje mačke in jim dal vodo.	late razbije trdo pade na tla. na dveh mestih	entailment
To pa so seveda noge, roke, ušesa, nos in brada.	Vsekakor lahko vidimo po dvoje parov udov, uhlje, nos in brado.	To njihov glas je bil slišan	osebek najde dva za gledanje	entailment
Vladimir pospravlja in popravlja po stanovanju, pripravlja zajtrk za vse in počasi vstopa v življenje Aleša, Maše in Mikija.	Vladimir kljub temu, da skrbi za stanovanje in počne druge usluge Maši, Alešu in Mikiju, zanje ostaja enak tujec kot na začetku.	Vladimir gre domov, da pripravlja večerjo	Vladimir mora ostati doma imajo druge stvari, ki jih morajo opraviti.	contradiction
